PROJ_CODE,PROJ_NAME,PROJ_SHORT,PRI_P_COM,LOC_SITE,LATITUDE,LONGITUDE,TECT_UNIT,EST_COM,EST_COM_AB,EST_COM_P,RES_QTY,RES_QTY_U,RES_QTY_G,RES_QTY_GU,RES_CON,RES_CON_U,ARES_CON,ARES_CON_U,RV_QTY,RV_QTY_U,RV_QTY_G,RV_QTY_GU,RV_CON,RV_CON_U,ARV_CON,ARV_CON_U,POINT_SIZE,POINT_UNIT,PROJ_URL,EXTRACT_DA
J03392,Barlee,Barlee,Gold,S0023139,-29.475519,119.095398,Youanmi Terrane,Gold,Au,Yes,0.678419,million tonnes,3.15,gram/tonne,2137.01985,kilogram,68706.78453,ounce (troy),,,,,,,,,2137.01985,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/a4e68fdf-1e14-4730-a2ce-b1cae74b31d8,19/10/2022
J00013,Barrambie Gold,Barrambie,Gold,S0000026,-27.367781,119.0746,Youanmi Terrane,Gold,Au,Yes,0.14,million tonnes,2.22,gram/tonne,310.8,kilogram,9992.452168,ounce (troy),,,,,,,,,310.8,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/2457235c-f2cb-4b4a-83c5-7edc2189eb67,19/10/2022
J00789,Barrambie Vanadium-Titanium,Barrambie,Vanadium,S0001758,-27.433241,119.121101,Youanmi Terrane,Titanium dioxide,TiO2,No,280.1,million tonnes,9.17975366,percent,25.71249,million tonnes,,,,,,,,,,,25.71249,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/7c00d906-22f2-4792-bc15-cfe465ba2a45,19/10/2022
J00789,Barrambie Vanadium-Titanium,Barrambie,Vanadium,S0001758,-27.433241,119.121101,Youanmi Terrane,Vanadium pentoxide,V2O5,No,280.1,million tonnes,0.44069261,percent,1234.38,kilotonne,,,,,,,,,,,1234.38,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/7c00d906-22f2-4792-bc15-cfe465ba2a45,19/10/2022
J04801,Battler / IMD,Battler,Gold,S0020968,-31.34636,119.389597,Youanmi Terrane,Gold,Au,Yes,0.452,million tonnes,2.86106195,gram/tonne,1293.2,kilogram,41577.34602,ounce (troy),0.142,million tonnes,3.78450704,gram/tonne,537.4,kilogram,17277.81144,ounce (troy),1830.6,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/e3c20726-f7a8-46fa-a2fd-f5d29ca5a0c3,19/10/2022
J04192,Beasley River / Cheela Plains,Beasley River,Sand - undifferentiated,S0229309,-22.945887,116.991019,Turee Creek Basin,Sand - undifferentiated,Sd,Yes,4.03,million tonnes,100,percent,4030000,tonnes,,,,,,,,,,,4030000,tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/52267b33-4b42-42e5-9bd4-db25a739fece,19/10/2022
J04143,Beatons Creek JV,Beatons Creek,Gold,S0000030,-21.870333,120.101598,Northeast Pilbara Sub-basin,Gold,Au,Yes,10.94,million tonnes,2.54588665,gram/tonne,27852,kilogram,895462.6054,ounce (troy),,,,,,,,,27852,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/e0d2d1b8-9cb0-4848-9b86-7ebc3badbdff,19/10/2022
J01088,Beete Gypsum,Beete,Gypsum,S0002428,-32.675518,121.478399,Scaddan Embayment,Gypsum,Gp,Yes,5.285,million tonnes,99.41485336,percent,5254.075,kilotonne,,,,,,,,,,,5254.075,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/63891681-1df1-4ce3-bdd0-0dbb985b4c8a,19/10/2022
J05540,Beharra Silica Sand,Beharra,Silica sand,S0237620,-29.426222,115.111285,Beharra Springs Terrace,Alumina,Al2O3,No,139,million tonnes,0.41854676,percent,0.58178,million tonnes,,,64.1,million tonnes,0.424,percent,0.271784,million tonnes,,,0.853564,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/25bf342d-fb6c-4398-a356-6897a3275fe3,19/10/2022
J05540,Beharra Silica Sand,Beharra,Silica sand,S0237620,-29.426222,115.111285,Beharra Springs Terrace,Iron - ferric oxide,Fe2O3,No,139,million tonnes,0.23,percent,319.7,kilotonne,,,64.1,million tonnes,0.195,percent,124.995,kilotonne,,,444.695,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/25bf342d-fb6c-4398-a356-6897a3275fe3,19/10/2022
