SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0230398,A-CPs,West Angelas Deposit A - Centre Pit South,Mine,Openpit,Operating,J00706,West Angelas,118.775693,-23.190224,681740,7434313,50,Fe,Iron,IRON ORE,,N,,,,,Public,2651,GOVERNOR,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0230405,Section 6 South,Tom Price Section 6 South,Mine,Openpit,Operating,J03928,Tom Price / Rio Tinto,117.744875,-22.78018,576461,7480621,50,Fe,Iron,IRON ORE,,N,,,,,Public,2452,MOUNT LIONEL,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0230406,Section 7C2,Tom Price Section 7 Central 2,Mine,Openpit,Operating,J03928,Tom Price / Rio Tinto,117.718501,-22.767716,573760,7482015,50,Fe,Iron,IRON ORE,,N,,,,,Public,2452,MOUNT LIONEL,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0230408,Tail Extension Pit,Marandoo Tail Extension Pit,Mine,Openpit,Operating,J03929,Marandoo / Rio Tinto,118.172912,-22.661082,620506,7493522,50,Fe,Iron,IRON ORE,Marandoo,N,,Y,,Operating Mine,Public,2552,MOUNT BRUCE,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0230415,Miralga East - Comet,Miralga East-Comet Pit,Mine,Openpit,Operating,J04392,Miralga Creek,119.424783,-20.972158,752107,7679023,50,Fe,Iron,IRON ORE,,N,,,,,Public,2756,CARLINDIE,SF50-04,PORT HEDLAND,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Gorge Creek Basin,20221013
S0230416,Pit3 W,Brockman 4 - Pit 3 West,Mine,Openpit,Operating,J03931,Brockman 4 Area / Rio Tinto,117.200339,-22.600088,520591,7500735,50,Fe,Iron,IRON ORE,,N,,,,,Public,2352,ROCKLEA,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0230417,Pit2 Final,Brockman 4 - Pit 2 Final,Mine,Openpit,Operating,J03931,Brockman 4 Area / Rio Tinto,117.168049,-22.61351,517271,7499254,50,Fe,Iron,IRON ORE,,N,,,,,Public,2352,ROCKLEA,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0230432,Ducane Rd Lot 265/Giacci,Ducane Road Lot 265 North Boyanup / Giacci,Mine,Openpit,Operating,J04394,Bunbury - Boyanup / Giacci,115.675941,-33.424556,376903,6300862,50,Sdc,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"CAPEL, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20221013
S0230434,Boonanarring A,Boonanarring A,Mine,Openpit,Operating,J03897,Boonanarring - North Perth Basin,115.801551,-31.161168,385778,6551918,50,HM Ilm Zrn Leu Rt,Speciality metal,HEAVY MINERAL SANDS,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Beermullah Trough,20221013
S0230471,Wadrah Plateau 4,Wadrah Plateau Dimension Stone 4,Mine,Openpit,Operating,J04400,Parry Range–Maroonah Marbles,115.728481,-22.693745,369393,7489823,50,Marb Dol Dst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2052,BOOLALOO,SF50-10,WYLOO,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Edmund Basin,20221013
