PROJ_CODE,PROJ_NAME,PRI_P_COM,RES_QTY,TOT_MIN_RES_QUANTITY,RES_CON,TOT_MIN_RES_CONT_COM_UNIT,RES_ALT_CONT_COM,TOT_MIN_RES_ALT_CONT_COM_UNIT
J00245,Mt Gibson Gold,Gold,79.7,million tonnes,63760.0,kilotonne,2049931.629,ounce (troy)
J00596,Mt Gibson Iron,Iron,426.14,million tonnes,133.431878,kilotonne,,
J05682,Mt Hampton,Gold,0.609,million tonnes,1129.8,kilotonne,36323.913960000005,ounce (troy)
J01306,Mt Henry - Norseman,Gold,22.21,million tonnes,25762.0,kilotonne,828267.5442,ounce (troy)
J00106,Mt Holland Gold / Kidman,Gold,15.322000000000001,million tonnes,29814.91,kilotonne,958571.6282,ounce (troy)
J00430,Mt Ida Gold,Gold,0.318,million tonnes,4378.2,kilotonne,140762.4005,ounce (troy)
J03291,Mt Ida Iron,Iron,1846.0,million tonnes,544.2378,kilotonne,,
J04342,Mt Ida South,Gold,4.135,million tonnes,4661.0,kilotonne,149854.6318,ounce (troy)
J03632,Mt Jewell Gold,Gold,3.14,million tonnes,4158.7,kilotonne,133705.3115,ounce (troy)
J04863,Mt Jumbo,Gold,2.316,million tonnes,2639.37,kilotonne,84857.71711,ounce (troy)
J00756,Mt Keith / BHP Billiton,Nickel,643.7,million tonnes,3730.13,kilotonne,,
J00156,Mt Magnet,Gold,60.284,million tonnes,99086.8,kilotonne,3185714.6380000003,ounce (troy)
J01371,Mt Manning Range Iron,Iron,5.0,million tonnes,3.0,kilotonne,,
J02975,Mt Mason,Iron,6.2,million tonnes,3.7228,kilotonne,,
J05527,Mt McClure / Yandal,Gold,2.225,million tonnes,4277.9,kilotonne,137537.6806,ounce (troy)
J04799,Mt Monger / Mt Monger Resources,Gold,0.166,million tonnes,364.8,kilotonne,11728.592509999999,ounce (troy)
J05440,Mt Monger North,Gold,0.2046,million tonnes,529.914,kilotonne,17037.13095,ounce (troy)
J00256,Mt Morgans,Gold,26.186,million tonnes,47466.7,kilotonne,1526089.8630000001,ounce (troy)
J00603,Mt Mulcahy,Copper,0.6472319999999999,million tonnes,15.221639000000001,kilotonne,,
J01860,Mt Newman Gold,Gold,0.14,million tonnes,700.0,kilotonne,22505.5229,ounce (troy)
J03440,Mt Oscar / Artemis,Iron,126.0,million tonnes,42.6384,kilotonne,,
J03571,Mt Padbury Iron,Iron,13.3,million tonnes,7.4479999999999995,kilotonne,,
J01537,Mt Pleasant Copper,Copper,0.264,million tonnes,10.9888,kilotonne,,
J04952,Mt Sholl,Nickel,5.78,million tonnes,31.285999999999998,kilotonne,,
J05741,Mt Sholl Nickel-Copper-PGE-Gold,Nickel,3.17,million tonnes,14.152999999999999,kilotonne,,
J04654,Mt Stirling / Asra,Gold,2.747,million tonnes,4729.3,kilotonne,152050.5278,ounce (troy)
J03360,Mt Thirsty,Nickel,26.8,million tonnes,140.34,kilotonne,,
J03641,Mt Webber ,Iron,56.1,million tonnes,32.0454,kilotonne,,
J00167,Mt York Gold,Gold,28.0,million tonnes,34227.3,kilotonne,1100433.263,ounce (troy)
J05730,Mt York Gold / Pilbara Minerals,Gold,0.039,million tonnes,48.99,kilotonne,1575.065096,ounce (troy)
J01361,Mugga King,Gold,0.255,million tonnes,714.0,kilotonne,22955.63336,ounce (troy)
J00926,Mugga King Tailings,Gold,0.005,million tonnes,8.75,kilotonne,281.3190363,ounce (troy)
J02417,Mulgabbie North,Gold,0.6,million tonnes,1320.0,kilotonne,42438.986039999996,ounce (troy)
J00268,Mulwarrie Central,Gold,0.8809999999999999,million tonnes,2466.8,kilotonne,79309.4627,ounce (troy)
J03053,Munro Bore,Gold,0.27,million tonnes,432.0,kilotonne,13889.1227,ounce (troy)
J02772,Murchison / Monument,Gold,15.9412,million tonnes,24733.616,kilotonne,795204.2304,ounce (troy)
J00347,Murchison / Westgold,Gold,16.8373,million tonnes,35775.296,kilotonne,1150202.491,ounce (troy)
J03245,Murchison Gold - Andy Well - Gnaweeda,Gold,14.197000000000001,million tonnes,44878.4,kilotonne,1442874.084,ounce (troy)
J00480,Murrin Murrin / Minara,Nickel,200.9,million tonnes,2026.5,kilotonne,,
J03189,Nameless / FMG,Iron,240.0,million tonnes,121.0296,kilotonne,,
J03026,Nanadie Well,Copper,40.4,million tonnes,161.6,kilotonne,,
J00974,Nepean,Nickel,2.37,million tonnes,36.36,kilotonne,,
J01837,New Bulong - Boundary - Kal East Gold Project,Gold,3.548,million tonnes,9429.20002,kilotonne,303155.8243,ounce (troy)
J01007,New Mexico,Gold,0.006999999999999999,million tonnes,84.0,kilotonne,2700.662748,ounce (troy)
J02524,Newington Gold,Gold,0.1473,million tonnes,1325.36,kilotonne,42611.31404,ounce (troy)
J00623,Newman / BHPB,Iron,28720.0,million tonnes,17117.9,kilotonne,,
J00626,Nifty,Copper,95.1,million tonnes,942.4,kilotonne,,
J02021,Nimbus,Silver,12.0896,million tonnes,627889.2,kilotonne,20187106.81,ounce (troy)
J02232,NiWest / GME,Nickel,85.3001,million tonnes,880.2900900000001,kilotonne,,
J00990,Norseman / Accent,Gold,1.381,million tonnes,2160.94,kilotonne,69475.83522000001,ounce (troy)
J05393,Norseman / Galileo,Nickel,25.1,million tonnes,122.41,kilotonne,,
J03285,North Ironcap,Gold,0.5589999999999999,million tonnes,1336.01,kilotonne,42953.7195,ounce (troy)
J01436,North Kanowna Star,Gold,0.716,million tonnes,977.9,kilotonne,31440.21549,ounce (troy)
J01639,North Laverton Gold,Gold,3.4139999999999997,million tonnes,8557.73,kilotonne,275137.4121,ounce (troy)
J02818,North Monger - Kal East Gold Project,Gold,16.868,million tonnes,32536.7,kilotonne,1046079.21,ounce (troy)
J00282,North Shaw,Gold,0.004,million tonnes,20.0,kilotonne,643.01494,ounce (troy)
J04876,North Widgiemooltha Gold / Mincor,Gold,4.055,million tonnes,5814.8,kilotonne,186950.1637,ounce (troy)
J04167,Nova-Bollinger,Nickel,11.16,million tonnes,169.454,kilotonne,,
J01913,Nullagine / Millennium,Gold,22.0495,million tonnes,34475.46,kilotonne,1108411.7920000001,ounce (troy)
J03030,Nullagine CID,Iron,83.2,million tonnes,44.9865,kilotonne,,
J03970,Oakover Manganese / Firefly,Manganese,172.3,million tonnes,16947.5,kilotonne,,
J04248,Ophthalmia,Iron,341.07,million tonnes,202.233572,kilotonne,,
J04664,Ora Banda / Norton,Gold,17.79,million tonnes,33085.8,kilotonne,1063733.185,ounce (troy)
J00292,Paddington - Mt Pleasant,Gold,59.98,million tonnes,135037.0,kilotonne,4341540.423,ounce (troy)
J01556,Palm Springs - Mt Bradley,Gold,8.377,million tonnes,17168.21,kilotonne,551970.7762,ounce (troy)
J03935,Pannawonica CID,Iron,51.1,million tonnes,27.2203,kilotonne,,
J02626,Pardoo - Highway,Nickel,50.0,million tonnes,151.7,kilotonne,,
J03069,Parker Range - Burbidge,Gold,0.2965,million tonnes,495.72,kilotonne,15937.7683,ounce (troy)
J03500,Parker Range - Mt Caudan Iron,Iron,36.2,million tonnes,20.1564,kilotonne,,
J01053,Parker Range - Olga Rocks,Gold,1.3894,million tonnes,3160.34,kilotonne,101607.2918,ounce (troy)
J01894,Paroo Station,Lead,51.6,million tonnes,1924.0,kilotonne,,
J05392,Paterson / Greatland Gold,Gold,92.0,million tonnes,170900.0,kilotonne,5494562.6620000005,ounce (troy)
J05463,Paterson / Rio Tinto,Copper,608.0,million tonnes,2476.8,kilotonne,,
J00242,Paulsens,Gold,2.661,million tonnes,6695.7,kilotonne,215271.7567,ounce (troy)
J03312,Paulsens East Iron,Iron,9.6,million tonnes,5.8656,kilotonne,,
J00302,Peak Hill / Aragon,Gold,6.497000000000001,million tonnes,11472.62,kilotonne,368853.30299999996,ounce (troy)
J03833,Peak Hill / AustSino,Iron,937.5,million tonnes,258.77275,kilotonne,,
J02354,Pelican,Nickel,5.39,million tonnes,51.9057,kilotonne,,
J05525,Penny Gold,Gold,0.53,million tonnes,9080.0,kilotonne,291928.7828,ounce (troy)
J01376,Pennys Find,Gold,0.27,million tonnes,1347.55,kilotonne,43324.73912,ounce (troy)
J04651,Perenjori Iron Ore,Iron,191.7,million tonnes,70.21363000000001,kilotonne,,
J01338,Phillips Find,Gold,0.7585,million tonnes,1760.73,kilotonne,56608.784770000006,ounce (troy)
J03122,Phils Creek / PMI,Iron,15.1,million tonnes,8.3981,kilotonne,,
J02126,Picnic,Gold,0.021,million tonnes,49.35,kilotonne,1586.6393640000001,ounce (troy)
J02251,Pilbara Gold,Gold,25.58,million tonnes,50499.0,kilotonne,1623580.573,ounce (troy)
J03678,Pilbara Iron (PIOP),Iron,1483.0,million tonnes,773.216,kilotonne,,
J03123,Pilbara Iron / WA Iron,Iron,182.6,million tonnes,96.201672,kilotonne,,
J04732,Pinnacles Gold / Nexus - Saracen JV,Gold,0.609,million tonnes,2466.4,kilotonne,79296.6024,ounce (troy)
J04062,Plutonic Dome,Gold,10.385,million tonnes,31137.5,kilotonne,1001093.885,ounce (troy)
J00417,Plutonic Gold,Gold,49.52,million tonnes,183276.0,kilotonne,5892460.307,ounce (troy)
J04154,Polar Bear Gold,Gold,0.5923,million tonnes,1027.24,kilotonne,33026.53335,ounce (troy)
J03006,Poondano Iron Ore,Iron,4.5,million tonnes,2.097,kilotonne,,
J00094,Porphyry - Northern Operations,Gold,23.836,million tonnes,43695.4,kilotonne,1404839.75,ounce (troy)
J03677,Prairie Downs Iron,Iron,2332.0,million tonnes,584.368,kilotonne,,
J01505,Primrose,Gold,1.035,million tonnes,3312.0,kilotonne,106483.2741,ounce (troy)
J03995,Project Io - Nyidinghu,Iron,2474.0,million tonnes,1418.457,kilotonne,,
J00643,Pyke Hill,Nickel,10.5,million tonnes,103.74,kilotonne,,
J02344,Quartz Circle,Gold,0.09300000000000001,million tonnes,22.32,kilotonne,717.604673,ounce (troy)
J02144,Quartz Creek - Minerichee,Gold,0.092,million tonnes,181.98,kilotonne,5850.792939,ounce (troy)
J00307,Queen Lapage,Gold,0.25688,million tonnes,771.2224,kilotonne,24795.37626,ounce (troy)
J03108,Quicksilver,Nickel,26.3,million tonnes,169.65,kilotonne,,
J00104,Quinns,Gold,0.56,million tonnes,1464.2,kilotonne,47075.12376,ounce (troy)
J01432,Radio - Bullfinch,Gold,0.2107,million tonnes,889.7130000000001,kilotonne,28604.93757,ounce (troy)
J00763,Radio Hill Nickel,Nickel,1.15,million tonnes,5.98,kilotonne,,
J00251,Randalls - Mt Monger,Gold,24.009,million tonnes,94850.0,kilotonne,3049498.353,ounce (troy)
J01315,Randalls Tailings,Gold,0.015,million tonnes,30.0,kilotonne,964.5224099999999,ounce (troy)
J00120,Randwick - Gold Hill,Gold,0.5529999999999999,million tonnes,1116.54,kilotonne,35897.59506,ounce (troy)
J00644,Range and Turtle - Copper Ridge,Copper,0.091,million tonnes,1.82,kilotonne,,
J02145,Ravensthorpe - First Quantum,Nickel,310.75,million tonnes,1717.326,kilotonne,,
J00191,Ravensthorpe Gold,Gold,16.47,million tonnes,34514.0,kilotonne,1109650.882,ounce (troy)
J04276,Rebecca,Gold,31.35,million tonnes,38335.0,kilotonne,1232498.886,ounce (troy)
J03877,Red Bore,Copper,0.048,million tonnes,1.7280000000000002,kilotonne,,
J01518,Red Flag - Hawks Nest,Gold,0.057999999999999996,million tonnes,185.02,kilotonne,5948.53121,ounce (troy)
J04019,Red October,Gold,1.296,million tonnes,6867.4,kilotonne,220792.0399,ounce (troy)
J02402,Red White and Blue,Gold,0.276,million tonnes,524.4,kilotonne,16859.851730000002,ounce (troy)
J00342,Redcliffe,Gold,12.67,million tonnes,21301.2,kilotonne,684849.4920000001,ounce (troy)
J03459,Reedy South,Gold,0.778,million tonnes,1322.6,kilotonne,42522.57798,ounce (troy)
J00311,Richenda River - Turtle,Gold,0.25,million tonnes,937.5,kilotonne,30141.325310000004,ounce (troy)
J01915,Ridges Iron Ore,Iron,50.109965,million tonnes,23.11654,kilotonne,,
J02949,Riverina Nickel,Nickel,2.19585,million tonnes,22.178085,kilotonne,,
J00484,Robe River - Deepdale,Iron,6251.0,million tonnes,3603.9390000000003,kilotonne,,
J03577,Robinson Range Iron / Auris,Iron,4.3,million tonnes,2.3736,kilotonne,,
J03037,Robinson Range Iron / Sinosteel Midwest,Iron,7.3645,million tonnes,3.950597,kilotonne,,
J02780,Rose Dam,Gold,0.68,million tonnes,2090.0,kilotonne,67195.06122999999,ounce (troy)
J00315,Rothsay,Gold,1.405,million tonnes,14559.6,kilotonne,468102.016,ounce (troy)
J02127,Rowes Find - Kal East Gold Project,Gold,0.14800000000000002,million tonnes,518.0,kilotonne,16654.08695,ounce (troy)
