SITE_CODE,PROJ_CODE,TITLE,SUB_TYPE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,LGA_NAME,DISTRICT_NAME,TECTONIC_UNIT
S0005001,J00571,Marillana Creek Central Mesa 1,Openpit,Operating,Marillana Creek - Yandi / BHPB,119.065498,-22.718639000000003,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0005030,J00251,Maxwells,Decline,Operating,Randalls - Mt Monger,122.19893200000001,-31.08101,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",BULONG,Eastern Goldfields Superterrane
S0005040,J00480,Murrin North (PAN Production),Openpit,Operating,Murrin Murrin / Minara,121.8955,-28.747169,Ni Co,Steel alloy metal,NICKEL,"LAVERTON, SHIRE OF",MT. MORGANS,Eastern Goldfields Superterrane
S0005063,J02419,Otto Bore,Openpit,Operating,Thunderbox Gold,121.015082,-28.111005,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",LAWLERS,Eastern Goldfields Superterrane
S0005074,J00251,Cockeyed Bob Deeps,Decline,Operating,Randalls - Mt Monger,122.176786,-31.088521000000004,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",BULONG,Eastern Goldfields Superterrane
S0005156,J00186,King of the Hills Underground,Decline,Operating,Tarmoola - King of the Hills,121.163002,-28.671459000000002,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",MT. MALCOLM,Eastern Goldfields Superterrane
S0005315,J02013,Gilbeys - Dalgaranga,Openpit,Operating,Dalgaranga - Gilbeys,117.265226,-27.846241,Au Ag,Precious metal,GOLD,"MOUNT MAGNET, SHIRE OF",YALGOO M.F.,Yilgarn Craton granites
S0005322,J02016,Elverdton Dumps,Tailings storage facility,Operating,Elverdton Dumps,120.147935,-33.625027,Cu Au,Base metal,COPPER - LEAD - ZINC,"RAVENSTHORPE, SHIRE OF",PHILLIPS RIVER M.F.,Youanmi Terrane
S0005365,J01639,Bungarra,Openpit,Operating,North Laverton Gold,121.466839,-27.400147999999998,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",MT. MALCOLM,Eastern Goldfields Superterrane
S0005388,J04814,Cutters Ridge Main,Openpit,Operating,Mungari / Evolution,121.182302,-30.771702,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0005546,J00417,Plutonic Zone 19 and Zone 550 - Baltic,Decline,Operating,Plutonic Gold,119.442596,-25.293249,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",PEAK HILL M.F.,Eastern Goldfields Superterrane
S0005627,J04253,Panther,Openpit,Operating,Jaurdi - Cammi's Creek,120.884697,-30.68709,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",KUNANALLING,Eastern Goldfields Superterrane
S0005631,J02145,Hale-Bopp,Openpit,Operating,Ravensthorpe - First Quantum,120.400034,-33.666733,Ni Co FeOre Al Mg Ca Carb Cu Zn,Steel alloy metal,NICKEL,"RAVENSTHORPE, SHIRE OF",PHILLIPS RIVER M.F.,Youanmi Terrane
S0005786,J04814,White Foil,Openpit,Operating,Mungari / Evolution,121.250603,-30.773726,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0005837,J02013,Golden Wings,Openpit,Operating,Dalgaranga - Gilbeys,117.295898,-27.821172999999998,Au Ag,Precious metal,GOLD,"MOUNT MAGNET, SHIRE OF",YALGOO M.F.,Yilgarn Craton granites
S0005841,J00082,Centenary - Oval,Decline,Operating,Darlot,121.28576899999999,-27.886146000000004,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",MT. MALCOLM,Eastern Goldfields Superterrane
S0005842,J00098,New Holland South Underground,Decline,Operating,Agnew - Emu,120.497378,-27.985018,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",LAWLERS,Yilgarn Craton
S0005907,J02197,Granny Venn,Openpit,Operating,East Menzies Gold,121.091797,-29.664061,Au Ag,Precious metal,GOLD,"MENZIES, SHIRE OF",MENZIES,Eastern Goldfields Superterrane
S0005909,J02624,Bulletin Underground,Decline,Operating,Matilda,120.246696,-26.61145,Au Ag,Precious metal,GOLD,"WILUNA, SHIRE OF",WILUNA,Eastern Goldfields Superterrane
S0006416,J00292,Federal,Openpit,Operating,Paddington - Mt Pleasant,121.4133,-30.412621,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",BROAD ARROW M.F.,Yilgarn Craton granites
